author,introduction,name
[美]埃里克·马瑟斯（Eric Matthes）,编程入门就选蟒蛇书！ 【经典】Python入门经典，常居Amazon等编程类图书TOP榜 【畅销】热销全球，以12个语种发行，影响超过 250 万读者 【口碑】好评如潮，第2版豆瓣评分 9.2，Amazon 4.7 星评 【升级】代码基于Python3.11升级，涵盖语言新特性 【资源丰富】随书代码 PPT课件 配套视频 速查手册 【自学利器】零基础书籍，自学轻松，附赠学习路线图 【品质提升】精雕细琢，邀请20位一线开发人员审读全书 学完蟒蛇书，你能打下坚实的编程基础、习得优秀的编程习惯，更会构建让自己终身受益的计算思维，而这也是AIGC时代与AI共生的基本技能。, Python编程 从入门到实践 第3版
明日科技(Mingri Soft),Python3.10全新升级！超20万读者认可的彩色书，从基本概念到完整项目开发，助您快速掌握Python编程。全程视频 完整源码 215道课后题 实物挂图 海量资源, 零基础学Python（Python3.10全彩版）编程入门 项目实践 同步视频
明日科技 高春艳 刘志铭,零基础入门数据分析师，利用Python进行数据处理、数据分析简单高效，送数据分析专属魔卡150 方法随身查, Python数据分析从入门到实践（全彩版）Python Excel高效办公常备工具
[美]埃里克·马瑟斯（Eric Matthes） [美]阿尔·斯维加特（Al Sweigart） [美] Mahesh Venkitachalam,《Python编程 从入门到实践 第3版》 编程入门就选蟒蛇书！ 【专业】Python入门好书，常居Amazon等编程类图书TOP榜 【热销】热销全球，以12个语种发行，影响超过 250 万读者 【口碑】好评如潮，第2版豆瓣评分 9.2，Amazon 4.7 星评 【升级】代码基于Python3.11升级，涵盖语言新特性 【资源丰富】随书代码 PPT课件 配套视频 速查手册 【自学利器】零基础书籍，自学轻松，附赠学习路线图 【品质提升】精雕细琢，邀请20位一线开发人员审读全书 学完蟒蛇书，你能打下坚实的编程基础、习得良好的编程习惯，更会构建让自己终身受益的计算思维，而这也是AIGC时代与AI共生的基本技能。 《Python编程快速上手 让繁琐工作自动化 第2版》 1.从零开始学习Python编程，让繁琐工作自动化，无需编程经验。 2.更新版全面升级，第1版累计销售近20w册，并更新项目代码。 3.通过本书，你将可以, Python编程三剑客第3版：Python编程从入门到实践第3版+快速上手第2版+极客项目编程（当当套装共3册）
无作者信息,无简介信息, Python编程 从入门到实践 第2版
姜伟生,这是一套前所未见的数学书，更是一套具备极高颜值的书。姜伟生博士自谦 小镇做题家 ，实际上他是国际著名金融企业的金融科技专家。很难想象一位以 术数 为业的金融家具备如此彻底的分享动机，同时，姜博士有着卓越的艺术品位和设计能力，不仅承担了这套书的精深内容，更承担了全系图书的整体设计。希望读者从枯燥的常规数学书中解脱出来，赏心悦目地慢慢走入缤纷的数学宇宙。, 矩阵力量：线性代数全彩图解+微课+Python编程
姜伟生,这是一套前所未见的数学书，更是一套具备极高颜值的书。姜伟生博士自谦 小镇做题家 ，实际上他是国际著名金融企业的金融科技专家。很难想象一位以 术数 为业的金融家具备如此彻底的分享动机，同时，姜博士有着卓越的艺术品位和设计能力，不仅承担了这套书的精深内容，更承担了全系图书的整体设计。希望读者从枯燥的常规数学书中解脱出来，赏心悦目地慢慢走入缤纷的数学宇宙。, 数学要素 全彩图解 + 微课 +Python 编程
[美]韦斯·麦金尼（Wes McKinney）,本书已更新至第3版！新版根据Python3.10全面升级，建议购买新版 阅读本书可以获得一份关于在Python下操作、处理、清洗、规整数据集的完整说明。本书第二版针对Python 3.6进行了更新，并增加实际案例向你展示如何高效地解决一系列数据分析问题。你将在阅读过程中学习到*版本的pandas、NumPy、IPython和Jupyter。 本书由Wes McKinney创作，他是Python pandas项目的创始人。本书是对Python数据科学工具的实操化、现代化的介绍，非常适合刚学Python的数据分析师或刚学数据科学以及科学计算的Python编程者。数据文件和相关的材料可以在GitHub上找到： l 使用IPython shell和Jupyter notebook进行探索性计算 l 学习NumPy(Numerical Python)的基础和高级特性 l 入门pandas库中的数据分析工具 l 使用灵活工具对数据进行载入、清洗、变换、合并和重塑 l 使用matplotlib创建富含信息的可视化 l, 利用Python进行数据分析（原书第2版）
爱编程的魏校长,本书特色 1. 实例众多 学习和掌握一项技能的简单方式就是多看、多练。本书包含 100 多个趣味实例，这些实例 涉及各个方面，不仅可以用来巩固练习，还可以用来开拓思维，引导小读者编写自己感兴趣的各种 程序。 2. 内容有趣 为了提高小读者的阅读兴趣，本书实例基于生活化的场景，讲述各种有趣的事情，尽量避免各 种枯燥的数学求解问题。例如，讲解出租车如何计费，以及如何为文艺表演评分等。 3. 内容全面 本书涵盖了 Python 的常用知识点，并且针对每个知识点都配置了一个相应的实例。通过本书， 小读者可以学习每个知识点的使用，同时掌握知识点的组合使用。 4. 由浅入深 考虑到小读者的逻辑思维能力相对较弱，所以本书的内容由浅入深，逐步讲解。首先讲解为 直观和简单的内容，如输入、输出、变量和常量；然后，逐步过渡到运算、逻辑、数据集合, Python青少年趣味编程100例 视频实例教学 零基础学Python入门教程自学教材 少儿趣味编程 小学生趣味编程 教
[美]阿尔·斯维加特（Al Sweigart）,Python编程从入门到实践姊妹篇，零基础自学Python教程书籍。 原版图书美亚评分4.7星，被150 高校选用，初版译著豆瓣评分8.9分！ 1.畅销书升级版，第1版累计销售近20w册； 2.针对Python 3.X 版本更新，更新项目代码； 3.扫码看视频，边看边学，扫描书中二维码，观看为本书量身定制的教学视频； 4.提供在线编程环境帮助读者边学边练； 5.随书赠送本书e读版电子书； 6.随书赠送全书思维导图； 7.随书赠送本书习题答案； 8.提供本书源代码； 9.随书赠送价值199元读书会（直播 社群）互动学习； 10.随书赠送2000门视频课程（非配套）、价值35000 元异步社区 VIP 会员卡（非配套）； 如果你曾经花几小时来重命名文件或更新成千上万个电子表格的单元格，你就知道这样的任务有多繁琐了。如果可以让计算机替你完成呢？ 在本书中，你将学习利用Python编程在几分钟内完成手动需, Python编程快速上手 让繁琐工作自动化 第2版
斋藤康毅,1.日本深度学习入门经典畅销书，原版上市不足2年印刷已达100 000册。长期位列日亚 人工智能 类图书榜首，众多五星好评。 2.使用Python 3，尽量不依赖外部库或工具，从零创建一个深度学习模型。 3.示例代码清晰，源代码可下载，需要的运行环境非常简单。读者可以一边读书一边执行程序，简单易上手。 4.使用平实的语言，结合直观的插图和具体的例子，将深度学习的原理掰开揉碎讲解，简明易懂。 5.使用计算图介绍复杂的误差反向传播法，非常直观。 6.相比AI圣经 花书 ，本书更合适入门。 对于非AI方向的技术人员，本书将大大降低入门深度学习的门槛；对于在校大学生、研究生，本书不失为学习深度学习的一本好教材；即便是在工作中已经熟练使用框架开发各类深度学习模型的读者，也可以从本书中获得新的体会。 摘自本书译者序, 深度学习入门 基于Python的理论与实现
明日科技 李磊 陈风,Python3爬虫开发***图书（彩色版）：详解自动化获取数据、数据解析、数据清洗、反爬以及数据可视化等知识，125个示例 2个综合案例 1个项目, Python网络爬虫从入门到实践（全彩版）自动化数据采集，入门知识，项目实践
明日科技(Mingri Soft),Python模块 ***手册 ，262个快学快用，111个属性方法，两大核心模块，内置系统模块专用工具书。易查！易学！易用！, Python模块参考手册·系统与控制（全彩版）
[巴西]卢西亚诺·拉马略（Luciano Ramalho）,一、领域好书 【领域好书】Python 进阶指南，精通 Python 绕不开的推荐作品 【好评如潮】Amazon 4.7 星评，豆瓣评分 9.4，近 8 万读者学习 【作者资深】25 年一线研发经验，PSF（Python软件基金会）成员 二、内容精良 【知识聚焦】专注 Python 核心特性和标准库，助你掌握语言底层逻辑 【通俗易读】近 500 段代码示例 多图多表，文笔诙谐，语言流畅 【Pythonic】写简洁、流畅、地道的 Python 代码，飙升编程效率 三、新版特色 【优化升级】内容更新率超过 3 成，基于 Python 3.10 新升级 【分上下册】新版拆分为上下两册（480/292页），更方便更易读, 流畅的Python（第2版）
张晓,1.Python的发展 当今世界信息技术发展迅猛，已进入大数据和人工智能时代，Python作为代表性的编程语言，由于其开源性，聚集了世界上众多程序员的才智而大放异彩，被无数程序员热烈追捧，已经成为主流的编程语言。 2.Python的应用 Python在前端开发、后端开发、爬虫开发、人工智能、金融量化分析、大数据、物联网等方面应用非常广泛。随着大数据时代和人工智能时代的到来，Python已成为数据分析、人工智能、机器学习、自然语言处理方面的开发语言。近年来很多互联网公司对前端开发、后端开发、测试、运维、数据分析等岗位的招聘条件中都要求应聘者具备Python相关的技能，甚至更多的企业直接招聘Python后端开发工程师。随着时代发展越来越快和市场需求越来越大，Python的应用也会越来越广泛。 3.Python的特点 本书的解决方案 Python语言的特点是易学难精，一些编, Python编程实战100例 100个编程实例 1390分钟视频讲解 核心编程应用 项目开发 python进阶 pyth
王国平,适合新手快速上手：本书首先从认识一个Python程序开始，介绍 Python程序的构成、编程环境搭建与程序编写规范，以及Python 的数据类型、运算符、程序结构与数据结构，然后介绍了数据可 视化的热门工具Matplotlib与Pyecharts，并给出超过30余种常用 见图形的绘制技巧，很适合从未接触过Python编程的读者快速上 手。 可视化流程全解析：本书从数据准备到数据清洗、整理，再到数 据呈现和展示，各部分分别介绍相关概念和工具的使用技巧，并 结合丰富案例进行步骤阐述，可以帮助建立数据可视化整体思路 ，也能够尽快提升基本的实操技能。 工具与项目相结合：书中既介绍了数据可视化常用工具，包括 Pandas、Matplotlib与Pyecharts，又给出了项目案例，可以帮助 读者解决实际工作中遇到的数据可视化问题，提升职场竞争力。 配套资源丰富：本书还提供了源代码、PPT和教学, Python数据可视化之Matplotlib与Pyecharts实战
